,energy,memory,latency,data efficiency,accuracy,accuracy uneducated
kins,-3132.8407128173667,-436,-6.6084349155426025,214286.85266854195,0.8978540738423665,0.8539341886838278
kill,-3392.61905816344,0,-0.5105597972869873,-56495.93356897123,0.8430615146954854,0.8539341886838278
kbann,-4771.158650082767,235,-9.695818662643433,245256.30322976038,0.9045779665311178,0.8539341886838278
