,energy,memory,latency,data efficiency,accuracy,accuracy uneducated
kins,-271511.1992932512,-184699,-567.7877559661865,336968.4892960787,0.9567355771859487,0.9559836983680725
kill,-131239.4551817809,2430,-1.1088194847106934,729382.584412992,0.9576440989971161,0.9560150265693664
kbann,-210230.65116880933,-64514,-460.5367980003357,-244636462.37736923,0.6087092757225037,0.9560150265693664
