,uneducated,educated
0,0.9379699230194092,0.942669153213501
1,0.9379699230194092,0.9360902309417725
2,0.9417293071746826,0.9360902309417725
3,0.9351503849029541,0.9370300769805908
4,0.9436089992523193,0.9370300769805908
5,0.9389097690582275,0.9436089992523193
6,0.9398496150970459,0.9351503849029541
7,0.9398496150970459,0.9445488452911377
8,0.9407894611358643,0.9389097690582275
9,0.9370300769805908,0.9351503849029541
10,0.9389097690582275,0.9445488452911377
11,0.9389097690582275,0.942669153213501
12,0.9370300769805908,0.9445488452911377
13,0.9389097690582275,0.9407894611358643
14,0.9351503849029541,0.9398496150970459
15,0.9370300769805908,0.9417293071746826
16,0.9436089992523193,0.9407894611358643
17,0.9407894611358643,0.9398496150970459
18,0.9454887509346008,0.9445488452911377
19,0.9407894611358643,0.9342105388641357
20,0.942669153213501,0.9370300769805908
21,0.9398496150970459,0.9398496150970459
22,0.942669153213501,0.9483082890510559
23,0.9436089992523193,0.9445488452911377
24,0.9370300769805908,0.9407894611358643
25,0.9370300769805908,0.9332706928253174
26,0.9342105388641357,0.9370300769805908
27,0.9332706928253174,0.942669153213501
28,0.9360902309417725,0.9417293071746826
29,0.9360902309417725,0.9436089992523193
