,uneducated,educated
0,0.9442059993743896,0.9484978318214417
1,0.9399141669273376,0.9484978318214417
2,0.9442059993743896,0.9484978318214417
3,0.9399141669273376,0.9356223344802856
4,0.9399141669273376,0.9484978318214417
5,0.9399141669273376,0.9313304424285889
6,0.9313304424285889,0.9399141669273376
7,0.9356223344802856,0.9399141669273376
8,0.9527897238731384,0.9484978318214417
9,0.9570815563201904,0.9570815563201904
10,0.9570815563201904,0.9356223344802856
11,0.9484978318214417,0.9442059993743896
12,0.9442059993743896,0.9484978318214417
13,0.9356223344802856,0.9442059993743896
14,0.9484978318214417,0.9570815563201904
15,0.9442059993743896,0.9484978318214417
16,0.9399141669273376,0.9613733887672424
17,0.9356223344802856,0.9399141669273376
18,0.9484978318214417,0.9484978318214417
19,0.9484978318214417,0.9484978318214417
20,0.9570815563201904,0.9570815563201904
21,0.9484978318214417,0.9527897238731384
22,0.9484978318214417,0.9527897238731384
23,0.9356223344802856,0.9399141669273376
24,0.9356223344802856,0.9227467775344849
25,0.9570815563201904,0.9570815563201904
26,0.9527897238731384,0.9527897238731384
27,0.9356223344802856,0.9442059993743896
28,0.9613733887672424,0.9356223344802856
29,0.9527897238731384,0.9527897238731384
