,energy,memory,latency,data efficiency,accuracy,accuracy uneducated
kins,-5436.677709977143,-161779,-5.054044008255005,-977723.6569822431,0.9370300749937693,0.9391290684541066
kill,1.2190815984204448,0,0.043203115463256836,567187.4599894285,0.9402882119019826,0.9390664120515188
kbann,-2370.688614360619,-66944,-2.7170655727386475,-5065534.25500083,0.9284774283568065,0.9392543812592824
