,uneducated,educated
0,0.8493949770927429,0.833855390548706
1,0.848965048789978,0.8452183604240417
2,0.8471224308013916,0.8450340628623962
3,0.848842203617096,0.8485965132713318
4,0.8493949770927429,0.8452183604240417
5,0.8476138114929199,0.8454640507698059
6,0.8450955152511597,0.8457097411155701
7,0.8433142900466919,0.8467538952827454
8,0.8450955152511597,0.8450340628623962
9,0.8447269797325134,0.8402432203292847
10,0.848412275314331,0.8403660655021667
11,0.8465695977210999,0.8482279777526855
12,0.8490878939628601,0.8466924428939819
13,0.8508076667785645,0.8452797532081604
14,0.8454025983810425,0.8457097411155701
15,0.8500092029571533,0.8455254435539246
16,0.8499478101730347,0.846815288066864
17,0.8452797532081604,0.8355752229690552
18,0.8468767404556274,0.8476138114929199
19,0.8446041345596313,0.8482279777526855
20,0.8449112176895142,0.8477365970611572
21,0.8509305119514465,0.8491492867469788
22,0.848965048789978,0.8472452759742737
23,0.8501935005187988,0.8456482887268066
24,0.8418402075767517,0.8471224308013916
25,0.8474295139312744,0.8406731486320496
26,0.8486579656600952,0.8415330648422241
27,0.838707685470581,0.8464467525482178
28,0.8454025983810425,0.8474295139312744
29,0.8501320481300354,0.8446041345596313
