,energy,memory,latency,data efficiency,accuracy,accuracy uneducated
kins,-369223.516149449,-6220,-940.2111129760742,4365828.203136444,0.847771430015564,0.846373071273168
kill,-226836.94166370912,4200,0.3072030544281006,4113307.0247364044,0.8480642080307007,0.8467456956704458
kbann,-466105.9198707993,-2468,-1054.7381129264832,1693481.6680250168,0.8474520405133565,0.8469094852606456
