,energy,memory,latency,data efficiency,accuracy,accuracy uneducated
kins,-3302.149796077383,-10420,-7.694350004196167,-3949339.05546999,0.8458612283070882,0.847124457359314
kill,113.86347104450283,0,0.11483597755432129,-2648652.3753471375,0.846276847521464,0.847124457359314
kbann,-3508.458202337535,-8308,-7.50984263420105,-6779384.875782967,0.8449583292007447,0.847124457359314
