,uneducated,educated
0,0.9484978318214417,0.9356223344802856
1,0.9399141669273376,0.9399141669273376
2,0.9484978318214417,0.9442059993743896
3,0.9399141669273376,0.9313304424285889
4,0.9399141669273376,0.9356223344802856
5,0.9399141669273376,0.9399141669273376
6,0.9313304424285889,0.9527897238731384
7,0.9356223344802856,0.9484978318214417
8,0.9527897238731384,0.9313304424285889
9,0.9570815563201904,0.9613733887672424
10,0.9484978318214417,0.9399141669273376
11,0.9484978318214417,0.9399141669273376
12,0.9442059993743896,0.9399141669273376
13,0.9356223344802856,0.9442059993743896
14,0.9484978318214417,0.9442059993743896
15,0.9442059993743896,0.9527897238731384
16,0.9399141669273376,0.9484978318214417
17,0.9356223344802856,0.9442059993743896
18,0.9484978318214417,0.9356223344802856
19,0.9484978318214417,0.9442059993743896
20,0.9570815563201904,0.9527897238731384
21,0.9484978318214417,0.9399141669273376
22,0.9484978318214417,0.9399141669273376
23,0.9356223344802856,0.9527897238731384
24,0.9356223344802856,0.9399141669273376
25,0.9570815563201904,0.9484978318214417
26,0.9527897238731384,0.9442059993743896
27,0.9356223344802856,0.9184549450874329
28,0.9613733887672424,0.9484978318214417
29,0.9527897238731384,0.9484978318214417
